Community,Religieux-Religieuses,Corps,Corps-Officiel,Province,Site,Site-2,Country,lat,lon,Number-Approx,Total Enslaved Persons,Empire,sphere,Approximate Year of Data,Reference,Note,NamesofReligious,RefRel,Contract of Founding,Summary of Contract,Ref for Contract
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Le Lémantin,Lamentin,Martinique,14.61589554,-61.00176734,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Le Diamant,Le Diamant,Martinique,14.48011493,-61.02558497,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Marin,Le Marin,Martinique,14.47024285,-60.87188082,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Les Anses Darlet,Les Anses-d'Arlet,Martinique,14.49100804,-61.07971772,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Les Trois Islets,Les Trois-Îlets,Martinique,14.53855156,-61.03354846,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,La Riviere-pilote,Rivière-Pilote,Martinique,14.48254612,-60.90566982,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,La Riviere Salée,Rivière-Salée,Martinique,"14.531232728162294,",-60.98104001,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Le St. Esprit,Saint-Esprit,Martinique,14.56236277,-60.93722724,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Ste. Anne,Sainte-Anne,Martinique,14.43525656,-60.8804044,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Ste. Luce,Sainte-Luce,Martinique,14.46891195,-60.91911115,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Acul-Du-Nord, Haiti",l'Accul,Haiti,19.67962,-72.31881,0,0,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 16. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"La Petite Anse (Cap-Haitien), Haiti",la Petite Anse,Haiti,19.74567,-72.20217,0,0,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 14. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Limbé, Haiti",le Limbé,Haiti,19.70733,-72.40459,0,0,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 17. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Môle-Saint-Nicolas, Haiti",Mole St. Nicolas,Haiti,19.807848,-73.377434,0,0,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 21. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Ounaminthe, Haiti",Ounaminthe,Haiti,19.55046,-71.72622,0,0,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 07. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Quartier-Morin, Haiti",Quartier Morin,Haiti,19.68366,-72.17619,0,0,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 12. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Fort-Liberté, Haiti",Fort Dauphin,Haiti,19.66054,-71.83358,1,1,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 08. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Grande-Rivière-du-Nord, Haiti",Gde. Riviere,Haiti,19.57927,-72.16896,1,1,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 13. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Limonade, Haiti",Limonade,Haiti,19.66937,-72.10916,1,1,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 11. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Saint-Louis-Du-Nord, Haiti",Port St. Louis,Haiti,19.932421,-72.71875,1,1,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 19. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Trou-du-Nord, Haiti",le Trou,Haiti,19.61832,-72.02188,2,2,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 10. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Borgne, Haiti",le Borgne,Haiti,19.84423,-72.52358,4,4,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 18. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Port-De-Paix, Haiti",Port Paix,Haiti,19.938709,-72.8311,5,5,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 20. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Cap-Haïtien, Haiti",le Cap,Haiti,19.74567,-72.20217,6,6,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 15. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Terrier-Rouge, Haiti",Terrier Rouge,Haiti,19.62863,-71.923126,6,6,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 09. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Saint-Domingue,"Cap-Haïtien, Haiti","Maison Conventuelle des Capucins, Cap François",Haiti,19.74567,-72.20217,31,31,French,2,1773,"""Lettre ... avec résumé 15 août 1773."" Archives Nationales d'Outre-Mer. Aix-en-Provence.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Vieux-Habitants, Guadeloupe",des habitans,Guadeloupe,16.06029864,-61.76462476,0,0,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–408. Office de Tourisme de la Guadeloupe. ""Église Saint-Joseph (Vieux-Habitants)."" https://fr.guadeloupe-tourisme.com/623/Eglise-saintjoseph-vieuxhabitants/.","The original church, founded by Dominican fathers Breton and Du Tertre, dates back to 1636. Initially built of wood, it was gradually improved but was destroyed by fire during the English landing on March 20, 1703. It was reconstructed in stone by the Capuchins, under the guidance of Father Vincent, in the same year and expanded in 1721. The Capuchins, who had secured permanent settlement rights in Guadeloupe in 1681, were entrusted with Vieux-Habitants. Their coat of arms adorns the front of the portal. After the Jesuit church of Carmel in Basse-Terre, this is the oldest church in Guadeloupe. Inside, there is a commemorative chapel dedicated to the founding fathers. The church houses a collection of religious silverware, mostly from the mid-18th century (processional crosses, sanctuary lamps, a ciborium, with a cup engraved with a depiction of the marriage of the Virgin Mary and Saint Joseph). The commune of Vieux-Habitants plans to create an eco-museum to display these artifacts. Until then, visitors can view these silver pieces at the departmental archives of Guadeloupe in Gourbeyre. The author of the ""Etat du Clerge"" report (1782) does not record how many enslaved persons served the parish.",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Anse-Bertrand, Guadeloupe",Lance Bertrand,Guadeloupe,16.47,-61.51,1,1,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–401.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Morne-à-l'Eau, Guadeloupe",Morne à l'eau,Guadeloupe,16.3322,-61.4569,1,1,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–403.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Port-Louis, Guadeloupe",Port Louis,Guadeloupe,16.4167,-61.5333,1,1,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–402.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Sainte-Anne, Guadeloupe",Ste. Anne,Guadeloupe,16.2333,-61.3833,1,1,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–400.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Pointe-à-Pitre, Guadeloupe",La Pointe à Pitre,Guadeloupe,16.2411,-61.5331,2,2,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–406.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Le Moule, Guadeloupe",Le Moule,Guadeloupe,16.3306,-61.3444,2,2,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–399.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Petit-Bourg, Guadeloupe",Petit Bourg,Guadeloupe,16.1931,-61.5917,2,2,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–407.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Saint-François, Guadeloupe
",St. François,Guadeloupe,16.25,-61.2833,2,2,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–398.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Le Gosier, Guadeloupe",Gozier,Guadeloupe,16.2061,-61.4942,3,3,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–405.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Petit-Canal, Guadeloupe",Petit canal,Guadeloupe,16.3834,-61.4834,3,3,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–404.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,"Basse-Terre, Guadeloupe",La Maison conventuelle,Guadeloupe,15.9952027,-61.7299359,12,12,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 397–409.",,,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,Désirade,Désirade,Désirade,16.316667,-61.05,1,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 399.","""Les Capucins desservent encore les trois paroisses de St. Martin[,] de Saint Barthelemy, et de la désirade, deux de ces Isles sont actuellement sans curé[.] on n’y fit point inventaire en 1773."" (p. 399)",,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,Les Saintes,Les Saintes,Guadeloupe,15.857,-61.5925,3,3,French,2,1743,"""État des biens et revenus des Carmes, dressé en (1741, 1743)."" Archives Nationales d'Outre-Mer, F5/A/7/3. Aix-en-Provence. Dussert-Vidalet, Bernadette. ""L'habitation du Mont-Carmel."" <em>Bulletin de la Société d'Histoire de la Guadeloupe</em>, no. 32 (1977): 5–23.","According to a declaration made in 1743, the Carmelite fathers served seven parishes in the French Antilles (3 on Guadeloupe, 1 in Les Saintes, 3 on Marie-Galante). The central Carmelite Convent, located in Guadeloupe, provided each parish with an average of three enslaved workers to serve the priests and maintain church buildings and grounds. The Carmelites also  possessed two sugar plantations on Guadeloupe to support their missions, the oldest at Montagne de Beau Soleil (known as “Mont Carmel”) and another at Belle-Vue, both near the town of Basse-Terre. The Mont Carmel plantation counted 57 enslaved dependents in 1772, predominantly of Igbo descent (but also Bambara, Arada, and Congo).",,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,Marie Galante,Marie Galante,Guadeloupe,15.9235,-61.2572,9,9,French,2,1743,"""État des biens et revenus des Carmes, dressé en (1741, 1743)."" Archives Nationales d'Outre-Mer, F5/A/7/3. Aix-en-Provence. Dussert-Vidalet, Bernadette. ""L'habitation du Mont-Carmel."" <em>Bulletin de la Société d'Histoire de la Guadeloupe</em>, no. 32 (1977): 5–23.","According to a declaration made in 1743, the Carmelite fathers served seven parishes in the French Antilles (3 on Guadeloupe, 1 in Les Saintes, 3 on Marie-Galante). The central Carmelite Convent, located in Guadeloupe, provided each parish with an average of three enslaved workers to serve the priests and maintain church buildings and grounds. The Carmelites also  possessed two sugar plantations on Guadeloupe to support their missions, the oldest at Montagne de Beau Soleil (known as “Mont Carmel”) and another at Belle-Vue, both near the town of Basse-Terre. The Mont Carmel plantation counted 57 enslaved dependents in 1772, predominantly of Igbo descent (but also Bambara, Arada, and Congo).",,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Terre-de-Haut, Les Saintes, Guadeloupe",de l'Assomption,Guadeloupe,15.86758979,-61.58173676,0,0,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Grand-Bourg, Marie-Galante, Guadeloupe",du Grand bourg,Guadeloupe,15.88402218,-61.31457798,1,1,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Terre-de-Bas, Les Saintes, Guadeloupe",de St. Nicolas,Guadeloupe,15.84960717,-61.6347213,2,2,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
